date,product_id,quantity_sold
2023-01-01,SKU-1001,63
2023-01-02,SKU-1001,44
2023-01-03,SKU-1001,36
2023-01-04,SKU-1001,48
2023-01-05,SKU-1001,10
2023-01-06,SKU-1001,48
2023-01-07,SKU-1001,51
2023-01-08,SKU-1001,38
2023-01-09,SKU-1001,49
2023-01-10,SKU-1001,33
2023-01-11,SKU-1001,38
2023-01-12,SKU-1001,39
2023-01-13,SKU-1001,39
2023-01-14,SKU-1001,55
2023-01-15,SKU-1001,51
2023-01-16,SKU-1001,68
2023-01-17,SKU-1001,43
2023-01-18,SKU-1001,47
2023-01-19,SKU-1001,33
2023-01-20,SKU-1001,38
2023-01-21,SKU-1001,90
2023-01-22,SKU-1001,81
2023-01-23,SKU-1001,55
2023-01-24,SKU-1001,30
2023-01-25,SKU-1001,10
2023-01-26,SKU-1001,39
2023-01-27,SKU-1001,42
2023-01-28,SKU-1001,83
2023-01-29,SKU-1001,52
2023-01-30,SKU-1001,48
2023-01-31,SKU-1001,37
2023-02-01,SKU-1001,32
2023-02-02,SKU-1001,32
2023-02-03,SKU-1001,54
2023-02-04,SKU-1001,37
2023-02-05,SKU-1001,47
2023-02-06,SKU-1001,27
2023-02-07,SKU-1001,23
2023-02-08,SKU-1001,58
2023-02-09,SKU-1001,54
2023-02-10,SKU-1001,34
2023-02-11,SKU-1001,24
2023-02-12,SKU-1001,38
2023-02-13,SKU-1001,20
2023-02-14,SKU-1001,28
2023-02-15,SKU-1001,27
2023-02-16,SKU-1001,68
2023-02-17,SKU-1001,40
2023-02-18,SKU-1001,55
2023-02-19,SKU-1001,55
2023-02-20,SKU-1001,38
2023-02-21,SKU-1001,59
2023-02-22,SKU-1001,44
2023-02-23,SKU-1001,39
2023-02-24,SKU-1001,23
2023-02-25,SKU-1001,61
2023-02-26,SKU-1001,39
2023-02-27,SKU-1001,35
2023-02-28,SKU-1001,63
2023-03-01,SKU-1001,37
2023-03-02,SKU-1001,54
2023-03-03,SKU-1001,45
2023-03-04,SKU-1001,60
2023-03-05,SKU-1001,15
2023-03-06,SKU-1001,27
2023-03-07,SKU-1001,28
2023-03-08,SKU-1001,37
2023-03-09,SKU-1001,23
2023-03-10,SKU-1001,44
2023-03-11,SKU-1001,31
2023-03-12,SKU-1001,71
2023-03-13,SKU-1001,43
2023-03-14,SKU-1001,44
2023-03-15,SKU-1001,18
2023-03-16,SKU-1001,38
2023-03-17,SKU-1001,51
